question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
Which of the following cells is not a part of CNS?,,Zoology,Mix,Nervous System,1,Medium,Microglial cell,,Schwann cell,,Ependymal cell,,Astrocyte cell,,2
A pap smear is done around vagina and cervix; what kind of tissue may line those area?,,Zoology,Mix,Histology,1,Hard,Simple cuboidal,,Keratinized squamous epithelium,,Squamous epithelium,,Non-keratinized stratified squamous epithelium,,4
Thyroid gland is lined by:,,Zoology,Mix,Histology,1,Medium,Simple cuboidal epithelium,,Simple columnar epithelium,,Squamous epithelium,,Pseudostratified columnar epithelium,,1
The stomach of frog attached to the dorsal wall by means of mesentery called:,,Zoology,Mix,Amphibia,1,Medium,Oxygaster,,Endogaster,,Mesogaster,,Megagaster,,3
Mucin present in saliva is:,,Zoology,Mix,Human Physiology,1,Easy,Glycoprotein,,Lipoprotein,,Phosphoprotein,,Chromoprotein,,1
Which of the following sets of disease is viral disease?,,Zoology,Mix,Human Diseases,1,Easy,"Typhoid, TB",,"AIDS, Kala-azar",,"Common cold, Herpes",,Pneumonia and TB,,3
Body cavity of Echinodermata is formed by:,,Zoology,Mix,Echinodermata,1,Medium,Splitting of mesodermal band,,Arrangement of mesenchymal cells,,Persistent blastocoel,,Archenteron pouch in larval stage,,4
Specific antibodies are extracted for the diagnosis of cancer in early days. These antibodies are called:,,Zoology,Mix,Immunology,1,Medium,Monoclonal antibody,,Polyclonal antibody,,Myelonal antibody,,Biclonal antibody,,1
"Enterokinase differs from other intestinal juice like Erepsin, Maltase, Lactase, etc as:",,Zoology,Mix,Digestive System,1,Medium,It is an enzyme,,It is an intestinal juice,,It needs to be activated,,It does not digest food,,1
Digestion of protein gives:,,Zoology,Mix,Digestive System,1,Easy,Glucose,,Amino acid,,Maltose,,Glycerol,,2
"If there is deficiency of Iodine, then metamorphosis of tadpole of frog:",,Zoology,Mix,Amphibia,1,Medium,Delays,,Stops,,Accelerates,,No change,,2
All are true for dengue and malaria except:,,Zoology,Mix,Human Diseases,1,Medium,Both are viral diseases,,Sudden fever,,Both are caused by bite of mosquito,,Muscular pain,,1
Muscle co-ordination and control is done by:,,Zoology,Mix,Nervous System,1,Medium,Cerebrum,,Cerebellum,,Pons,,Medulla oblongata,,2
"Na-K⁺ ATPase pump pumps 3Na⁺ outside the axoplasm and K⁺ inside the axolemma. If 3Na⁺ atom is pumped out, but only one K⁺ atom is pumped inside, the axoplasm would be:",,Zoology,Mix,Cell Physiology,1,Medium,More positive,,More negative,,Neutral,,Same charge,,2
Human embryo has pharyngeal gill slits and tail. This represent that:,,Zoology,Mix,Embryology,1,Medium,Mammals have evolved from fish like ancestor,,Fish and mammals are not related,,Both fish and mammal have common ancestor,,Fish have evolved from mammals,,3
Darwin believed that certain part of body become more larger and complex through generations because they:,,Zoology,Mix,Evolution,1,Medium,are used more extensively than other parts,,contribute to greater reproductive success,,are predetermined to do so,,are most similar to God’s perfections,,2
"Although aves have small lungs, they can respire effectively as exchange of gases takes place in:",,Zoology,Mix,Aves,1,Easy,Air sacs,,Alveoli,,Open capillaries,,Blood,,1
All are the function of Na⁺ except:,,Zoology,Mix,Human Physiology,1,Medium,It binds with glucose,,Produces protein and enzyme,,Nerve impulse conduction,,Regulates heart activity,,2
"If earthworm is pricked by needle, then which fluid comes out of its body:",,Zoology,Mix,Annelida,1,Easy,Coelomic fluid,,Blood,,Lymph,,Plasma,,1
Highly concentrated urine is formed:,,Zoology,Mix,Excretion,1,Medium,Low ADH secretion,,Polyuria,,By drinking a lot of water,,More number of Juxtamedullary nephrons,,4
You are going on a Shivapuri hike with few of your friend. What type of food you would prefer for sustain/persistent source of energy?,,Zoology,Mix,Nutrition,1,Easy,Complex carbohydrate from whole grain,,"Sugar containing chocolate, bar",,Sporty drinks,,Fiber containing carbohydrate,,1
"Find the nᵗʰ term of the following sequence: 5, 9, 13, 17 ...",,MAT,Mix,Sequences & Series,1,Easy,4n + 1,,2n,,2n + 1,,4n – 2,,1
"The average of five consecutive numbers A, B, C, D & E is 48. Then, the product of A & E is:",,MAT,Mix,Arithmetic,1,Easy,2400,,2300,,2350,,2332,,4
"Rashmi set the time in a clock correctly at 10 AM. In every hour, the clock gains 12 minutes. Find out the correct time if the clock shows 1 PM?",,MAT,Mix,Time,1,Medium,11:30,,12:15,,12:30,,13:30,,4
Eight friends are sitting around a round table at equal angles. Bikesh is facing south. Shyam and Sajan are at the left and right of Bikesh respectively. Pooja is not adjacent to Ram who is facing east. Sita is third to the right of Hari. Kamal is opposite to Sajan. Then who is opposite to Bikesh?,,MAT,Mix,Seating Arrangement,1,Hard,Shyam,,Hari,,Pooja,,Kamal,,4
"A has one and a half more as B. B has one and a half more than C. The total amount of gold is 76 ounces. Then find, how many gold ounces does these individuals have each respectively?",,MAT,Mix,Arithmetic,1,Medium,"38, 22, 16",,"36, 24, 16",,"40, 24, 12",,"46, 22, 18",,2
"Sanjeev takes 8 hours to copy 50 pages manuscript while Sandesh can copy the manuscript in 6 hours. How many would it take them to copy 50 pages manuscript, if they work together?",,MAT,Mix,Time & Work,1,Medium,9 5/7,,6 6/7,,10 2/3,,14,,2
"In search of his father, Jenish started moving 90m east then turned right and went 20m. After this, he again turned right, after going 30m he reached to his uncle’s house but didn’t meet his father. From there he started moving towards north and moved 100m to meet his father. How far did he meet his father from the starting point?",,MAT,Mix,Direction Test,1,Medium,80 m,,100 m,,140 m,,260 m,,3
"Which of the following will continue the given series? 1/3, 7/10, 13/17, 19/24, ...",,MAT,Mix,Series,1,Medium,25/30,,25/31,,26/32,,27/35,,4
Artist : Brush :: Scribe : ...,,MAT,Mix,Analogy,1,Easy,Book,,Paper,,Word,,Pen,,4
"A train is travelling at the speed of 90 mph enters a tunnel 3.5 miles long. The length of the train is 0.25 miles. How long does it take for all of the train to pass throughout the tunnel, from the moment it enters until emerging out completely?",,MAT,Mix,Time & Distance,1,Hard,2.5 min,,2.32 min,,2 min,,3 min,,4
"A queue of 50 students is made placing all girls at first and then followed by the boys. If Sambridhi is ranked 36th from last and she is at the bottom place from the girls then, what is the number of boys in that queue?",,MAT,Mix,Ranking & Order,1,Medium,14,,15,,35,,36,,3
[ML⁻¹T⁻¹] is the dimensional formula of:,,Physics,Mix,Dimensional Analysis,1,Medium,Surface Tension,,Angular Momentum,,Stress,,Coefficient of Viscosity,,1
Most accepted theory of the origin of the universe is:,,Physics,Mix,Cosmology,1,Easy,Big Bang theory,,Steady State theory,,String Theory,,Static Universe Theory,,1
P-type semiconductor is made by doping trivalent impurity with germanium. Which of the following doping makes P-type semiconductor?,,Physics,Mix,Semiconductor,1,Medium,Arsenic,,Phosphorous,,Indium,,Antimony,,3
Unit of self inductance is:,,Physics,Mix,Electromagnetism,1,Easy,Volt amp/sec,,Volt sec/amp,,Volt/amp,,Joule/amp,,2
Choose the wrong:,,Physics,Mix,Units & Measurements,1,Medium,Luminous flux = lumen,,Luminous intensity = candela,,Intensity of illumination = lux,,Luminous flux = lumen/m²,,4
"A uniform wire of resistance 36 ohm, is bent in the form of a circle. A battery is connected between positions A and B. The effective resistance between A and B is:",,Physics,Mix,Current Electricity,1,Hard,18 ohm,,6 ohm,,30 ohm,,5 ohm,,2
Resolving power of telescope is:,,Physics,Mix,Optics,1,Medium,1.22λ/D,,1.22D/λ,,λ/1.22D,,D/1.22λ,,1
"The work function of sodium is 2eV. When the light of wavelength 500 nm is incident on its surface, the maximum velocity of photoelectrons will be:",,Physics,Mix,Modern Physics,1,Hard,413 km/s,,430 km/s,,513 km/s,,220 km/s,,1
Find the wavelength of an electron moving with a velocity of 300 km/s.,,Physics,Mix,Modern Physics,1,Medium,2.9093 × 10⁻¹² m,,2.427 × 10⁻⁹ m,,3.55 × 10⁻¹¹ m,,2.7 × 10⁻¹³ m,,2
"Half life = 1.28 × 10⁻⁵ seconds, the average life is:",,Physics,Mix,Radioactivity,1,Medium,1.84 × 10⁻⁵ seconds,,1.58 × 10⁻⁵ seconds,,1.28 × 10⁻⁵ seconds,,1.4 × 10⁻⁵ seconds,,2
Property of retentivity is used in:,,Physics,Mix,Magnetism,1,Easy,Transformer,,Electromagnet,,Permanent magnet,,Galvanometer,,3
Which one is correct regarding Zener diode?,,Physics,Mix,Semiconductor,1,Medium,Ordinary diode has high reverse breakdown voltage than Zener diode,,Ordinary diode has low reverse breakdown voltage than Zener diode,,Ordinary diode and Zener diode have same reverse breakdown voltage,,Ordinary diode can be used as a Zener diode,,2
Phase difference between current and voltage in LCR circuit:,,Physics,Mix,AC Circuits,1,Medium,0,,π/2,,0 to ±π/2,,π,,3
Minimum capacitance obtained by joining 5 capacitors of 1 micro farad each is:,,Physics,Mix,Capacitors,1,Easy,0.2 μF,,1 μF,,0.5 μF,,1.5 μF,,1
Which is correct about achromatic combination of lens?,,Physics,Mix,Optics,1,Hard,f₁/f₂ = ω₁/ω₂,,f₁/f₂ = -ω₂/ω₁,,f₁/f₂ = -ω₁/ω₂,,f₁/f₂ = ω₂/ω₁,,3
Forbidden energy gap:,,Physics,Mix,Semiconductor,1,Medium,Maximum for conductor,,Of insulator lies between that of conductor and semiconductor,,Maximum for insulator,,Minimum for semiconductor,,2
Escape velocity of earth is 11.2 km/s. Escape velocity of a planet whose g is twice that of earth and diameter is twice that of earth is:,,Physics,Mix,Gravitation,1,Hard,11.2 km/s,,22.4 km/s,,44.8 km/s,,33.6 km/s,,4
"Resistance of two bodies r and 2r respectively, are connected in series across a battery. Find the ratio of heat consumed in 2r and r:",,Physics,Mix,Current Electricity,1,Medium,1:2,,2:1,,1:4,,4:1,,2
A person goes to office with 40 km/hr and returns home with 60 km/hr. What is his average speed?,,Physics,Mix,Motion,1,Easy,40 km/hr,,50 km/hr,,48 km/hr,,60 km/hr,,3
Penetrating power is maximum for:,,Physics,Mix,Nuclear Physics,1,Easy,Alpha ray,,Beta ray,,Gamma ray,,X-ray,,3
A body is projected making angle 60° with vertical. What is the value of KE at the highest point?,,Physics,Mix,Projectile Motion,1,Medium,0,,E/2,,E/4,,3E/4,,2
Quark combination of proton is:,,Physics,Mix,Particle Physics,1,Medium,uud,,udd,,uds,,usd,,1
A car can be stopped over a distance x when its momentum is p. What will be the stopping distance when momentum is 2p?,,Physics,Mix,Motion,1,Medium,2x,,4x,,6x,,8x,,2
Which of the following gates can be used in the construction of digital circuit?,,Physics,Mix,Logic Gates,1,Easy,AND,,OR,,NAND,,NOT,,3
"n capacitors with capacitance C, each connected in parallel combination across voltage V. Calculate the energy stored in the combination.",,Physics,Mix,Capacitors,1,Medium,½ nCV²,,½ CV²,,CV²,,nCV²,,1
During gamma emission:,,Physics,Mix,Nuclear Physics,1,Medium,"Atomic number changes by 2, mass number by 4",,"Atomic number changes by 1, no change in mass number",,No change in atomic number and mass number,,Atomic number and mass number both changes by 2,,3
"If the length of closed and open organ pipe is same, then the ratio of fundamental frequencies is:",,Physics,Mix,Sound,1,Medium,1/2,,2/1,,3/4,,None,,2
Decreasing order of work done during an expansion process:,,Physics,Mix,Thermodynamics,1,Medium,W isobaric > W isothermal > W adiabatic,,W isochoric > W adiabatic > W isothermal > W isobaric,,W isobaric > W isochoric > W isothermal > W adiabatic,,W isochoric > W isobaric > W isothermal > W adiabatic,,1
Which of the following sets of temperature of source and sink has maximum efficiency?,,Physics,Mix,Thermodynamics,1,Medium,100 K – 10 K,,300 K – 250 K,,600 K – 300 K,,300 K – 200 K,,3
A car is moving toward a cliff and blows a horn of frequency f which is reflected back with frequency ‘2f’. Then the velocity of car is:,,Physics,Mix,Doppler Effect,1,Hard,v,,v/3,,v/4,,v/6,,2
"If volume of gas is suddenly reduced when temperature doubles, then ratio of final volume to initial volume will be:",,Physics,Mix,Gas Laws,1,Medium,1/2,,Less than 1/2,,More than 1/2,,Between 1 and 2,,2
"The cubical expansivity of the sphere is less than that of liquid. With increase of temperature, the apparent weight of sphere will:",,Physics,Mix,Thermal Expansion,1,Medium,Increase,,Decrease,,Remains same,,First increase then decrease,,2
A glass slab of thickness 8 cm with refractive index of 1.6 consists a layer of liquid of thickness 4.5 cm and refractive index 1.5 above the slab. What is the apparent shift of a black mark at the bottom of the slab seen from above?,,Physics,Mix,Optics,1,Hard,8 cm,,3.5 cm,,4.5 cm,,6 cm,,2
"If the temperature increases by 1°C, then the change in velocity of sound is (v at NTP = 332 m/s):",,Physics,Mix,Sound,1,Medium,0.4,,0.6,,0.2,,0.8,,2
Apparent weight of a person is more than real weight when lift goes:,,Physics,Mix,Mechanics,1,Medium,Down with acceleration,,Down with uniform velocity,,Up with acceleration,,Up with uniform velocity,,3
Choose the incorrect statement.,,Physics,Mix,Wave Optics,1,Medium,Coherent source is the only required criteria for interference of light,,Interference takes place in one source,,Diffraction takes place from coherent source from a single wave,,Saccharimeter is based on phenomenon of polarization,,2
A wire having magnetic moment 'M' & length 'L' is bent in the shape of π with all three parts of same length. The net magnetic moment of the wire becomes:,,Physics,Mix,Magnetism,1,Medium,M/3,,3M,,M,,M/4,,2
Nuclear reactor is based on:,,Physics,Mix,Nuclear Physics,1,Easy,Fission,,Fusion,,Radioactivity,,None,,1
"When a potential difference 'V' is applied across a conductor at a temperature 'T', the drift velocity of electrons is proportional to:",,Physics,Mix,Current Electricity,1,Medium,√V,,V,,√T,,T,,2
Lyman series lies in:,,Physics,Mix,Atomic Physics,1,Easy,Visible,,Infra red,,Far IR,,Ultraviolet,,4
"In nuclear reactor, graphite is used as:",,Physics,Mix,Nuclear Physics,1,Medium,To decrease speed of neutron,,As a lubricant,,Superconductor,,Control rod,,1
Which of the following is a vector quantity?,,Physics,Mix,Vector Analysis,1,Easy,Electric field,,Electric potential,,Electric current,,Electric charge,,1
Physical quantity responsible for angular acceleration is:,,Physics,Mix,Rotational Motion,1,Medium,Force,,Torque,,Angular momentum,,Moment of inertia,,2
The ratio of mean value over one half cycle to the rms of a.c. of complete cycle is:,,Physics,Mix,AC Circuits,1,Medium,√2 : π,,2√2 : π,,√2 : 1,,π : √2,,2
The universe is expanding at the rate of 70 km/s/Mpc and a galaxy is receding with velocity 1330 km/s. Calculate the distance of galaxy from the Earth.,,Physics,Mix,Astrophysics,1,Hard,18 Mpc,,19 Mpc,,93100 Mpc,,1330 Mpc,,2
Magnetic field inside the solenoid is:,,Physics,Mix,Magnetism,1,Easy,Directly proportional to the length of solenoid,,Directly proportional to the current,,Directly proportional to the number of turns of the coil,,Directly proportional to the square of the current,,3
"Two bodies of masses 4M & 16M move with same kinetic energy, what is the ratio of their momentum?",,Physics,Mix,Mechanics,1,Medium,2:1,,1:2,,4:1,,1:4,,2
Electric potential in an electric dipole is proportional to:,,Physics,Mix,Electrostatics,1,Medium,1/r,,1/r²,,1/r³,,1/r⁴,,1
"If N water droplets combine to form a big drop, the potential energy of the big drop is:",,Physics,Mix,Electrostatics,1,Medium,N^5/3 U,,N U,,N^2/3 U,,N^1/3 U,,1
A vessel contains oil (density 0.8 g/cm³) over mercury (density 13.6 g/cm³). A homogeneous sphere floats with half its volume immersed in mercury and the other half in oil. The density of the material of the sphere in g/cm³ is:,,Physics,Mix,Fluids,1,Hard,3.3,,6.4,,7.2,,12.8,,2
Breathalyzer is used to detect alcohol in drivers. The compound used is in it is:,,Chemistry,Mix,Organic Chemistry,1,Medium,HIO₃,,Conc. H₂SO₄,,Conc. HNO₃,,K₂Cr₂O₇,,4
IUPAC name of CH₃-C(CH₃)₂-CH₂-CH₃ is:,,Chemistry,Mix,Nomenclature,1,Medium,2-Methylpentane,,"1,1,1-Trimethylpropane",,"3,3-Dimethylbutane",,"2,2-Dimethylbutane",,3
IUPAC name of glycerol:,,Chemistry,Mix,Organic Chemistry,1,Easy,"Propan-1,2,3-trialcohol",,"Propan-1,2,3-triol",,"Butan-1,2-diol",,"Propan-1,2-diol",,2
Iodoform is used as:,,Chemistry,Mix,Organic Chemistry,1,Medium,Antiseptic,,Analgesic,,Antipyretic,,Anaesthetic,,1
Reaction of chloroform and conc. HNO₃ gives:,,Chemistry,Mix,Organic Chemistry,1,Hard,Nitrochloroform,,Chloretone,,Chloropicrin,,Carbon tetrachloride,,3
Bakelite is formed by the condensation of two compounds. Which among those reacts with FeCl₃ to give positive test?,,Chemistry,Mix,Polymer Chemistry,1,Medium,Phenol,,Formaldehyde,,Benzaldehyde,,Benzoic acid,,1
Aniline and benzene diazonium chloride reacts to form:,,Chemistry,Mix,Organic Reactions,1,Medium,p-hydroxy azobenzene,,p-amino azobenzene,,m-hydroxy azobenzene,,o-hydroxy azobenzene,,2
Reactivity of halide toward SN1 reaction follows the order:,,Chemistry,Mix,Reaction Mechanism,1,Medium,3° > 2° > 1°,,1° > 2° > 3°,,1° > 3° > 2°,,2° > 3° > 1°,,1
The stereochemistry of product in SN2 reaction is:,,Chemistry,Mix,Reaction Mechanism,1,Medium,Walden inversion,,Racemisation,,Net inversion,,Partial racemisation,,1
