The vital force theory was given by,,Chemistry,Organic Chemistry,History of Organic Chemistry,1,Easy,Kekule,,Wohler,,Scheele,,Berzelius,,2
Which of the following is not an organic compound?,,Chemistry,Organic Chemistry,Basic Concepts,1,Easy,CaCO₃,,CH₄,,CO₂,,Both (a) and (c),,4
Which of the following doesn't represent a conjugated system?,,Chemistry,Organic Chemistry,Conjugation,1,Medium,"=, –, =",,"=, =, (+ve)",,"≡, –, –",,"=, –, ∙∙",,3
Which of the following statement is a wrong statement?,,Mathematics,Set Theory,Set Concepts,1,Medium,Power set of a given set is always non-empty.,,Equal sets are always equivalent but equivalent sets may not be equal.,,A non-empty collection is well-defined.,,For a given set A the relation A ∪ ϕ = A implies A is always a null set.,,4
"If arg(z) < 0 for a complex number z, then arg(−z) − arg(z) is:",,Mathematics,Complex Numbers,Argument,1,Medium,π,,−π,,π/2,,−π/2,,1
Let A be a matrix of order 3 and A denotes the value of the determinant A. Then det(−2A) is:,,Mathematics,Matrices,Determinants,1,Medium,−2A,,2A,,8A,,−8A,,4
"If sinA = sinB, cosA = cosB; then the value of A in terms of B is:",,Mathematics,Trigonometry,Identities,1,Medium,nπ + B,,nπ + (−1)ⁿB,,2nπ + B,,2nπ − B,,2
Angle between the pair of lines y²sin²θ + xysin2θ + x²(cos²θ − 1) = 0 is:,,Mathematics,Coordinate Geometry,Pair of Lines,1,Hard,π/3,,π/2,,π/4,,2π/3,,1
The conditional statement p ⇒ q is equivalent to,,Mathematics,Logic,Statements,1,Medium,p is true and q is false,,p is false and q is true,,p is false and q is false,,p & q both true,,3
"If the function f(x) = sin 3x / x, x ≠ 0; f(x) = k/2, x = 0 is continuous at x = 0, then k is:",,Mathematics,Limits & Continuity,Continuity,1,Medium,3,,6,,9,,12,,2
∫ (x³ / (1 + x³)) dx is equal to:,,Mathematics,Calculus,Integration,1,Hard,log(1 + x³) + c,,1/4 tan⁻¹(1 + x³) + c,,¼ tan⁻¹ x⁴ + c,,1 / (4(1 + x³)),,1
Derivative of sinh⁻¹x with respect to x is:,,Mathematics,Calculus,Derivatives,1,Medium,1 / √(1 + x²),,1 / √(1 − x²) (x < 1),,√(x² − 1),,1 / x√(1 + x²) (x ≠ 0),,1
If i − j and j + k are the given vectors; then which of the following vector can form a triangle with them taken in order?,,Mathematics,Vectors,Vector Geometry,1,Medium,2i − j + k,,i + k,,−i − k,,j − 2k,,1
lim(x → 5) √(x − 5) =,,Mathematics,Limits,Algebraic Limits,1,Easy,0,,−5,,5,,Does not exist,,1
Solution of the differential equation xdy − ydx = 0 represents,,Mathematics,Differential Equations,General Solutions,1,Medium,rectangular hyperbola,,st. line passing through the origin,,parabola whose vertex is at origin,,circle whose centre is at origin,,2
∫sin⁻¹x dx + ∫cos⁻¹x dx =,,Mathematics,Integration,Inverse Trigonometric Functions,1,Medium,0,,π/2 + c,,π/2 + c,,π + c,,2
The inclination of line xcosα + ysinα = p with positive x-axis is,,Mathematics,Coordinate Geometry,Straight Line,1,Medium,α,,π/2 + α,,π/2 − α,,π − α,,1
In three dimension 2x + 3y + 5 = 0 represents,,Mathematics,3D Geometry,Planes,1,Medium,plane ∥ to x-axis,,plane ∥ to y-axis,,plane ∥ to z-axis,,St. line,,3
"If Sₙ = n³ − 10, then t₁₀ =",,Mathematics,Sequences & Series,Arithmetic & Geometric Series,1,Medium,10³ − 9³,,9³ − 8³,,11³ − 10³,,2000,,1
"From 20 tickets numbered from 1 to 20, a ticket is drawn, what is the probability that it is a multiple of 5?",,Mathematics,Probability,Basic Probability,1,Easy,1/5,,4/5,,1/4,,3/4,,1
The principle value of sin⁻¹(sin(3π/4)) is,,Mathematics,Trigonometry,Inverse Trigonometric Functions,1,Medium,5π/4,,−π/4,,π/4,,3π/4,,2
"In a moderately asymmetrical distribution, mode and mean of the data are 6% and 9% respectively, then median is",,Mathematics,Statistics,Central Tendency,1,Medium,8%,,7%,,6%,,5%,,2
1 + x/1! log2 + x²/2!(log2)² + x³/3!(log2)³ + …….,,Mathematics,Series Expansion,Exponential Series,1,Hard,2,,log3,,2ˣ,,log2,,3
The phonemic transcription of ‘frequent’ is,,English,Phonetics,Transcription,1,Medium,/frikwənt/,,/frɪkwnt/,,/frɪkwnt/,,/frɪgnt/,,1
The word ‘contemplate’ has its primary stress on the……syllable.,,English,Grammar,Stress,1,Medium,1st,,2nd,,3rd,,None of these,,1
The Koshi abounds …… fish.,,English,Grammar,Prepositions,1,Easy,to,,of,,in,,on,,3
The principal agreed to look …… the case.,,English,Grammar,Prepositions,1,Medium,in,,into,,the,,at,,2
Hobson’s choice:,,English,Vocabulary,Idioms and Phrases,1,Medium,excellent choice,,no choice at all because there is only one thing to take or do,,choice to live or die,,bigman’s choice,,2
Buy a car …… it will cost you a fortune.,,English,Grammar,Conjunctions,1,Easy,if,,and,,till,,until,,1
I …… the movie before.,,English,Grammar,Tenses,1,Medium,saw,,had seen,,have seen,,was seeing,,2
Sporadic:,,English,Vocabulary,Synonyms,1,Easy,occasional,,frequently,,continuously,,never ending,,1
Rebellions:,,English,Vocabulary,Antonyms,1,Easy,submissive,,proud,,pompous,,spiteful,,1
Choose the correct sentence.,,English,Grammar,Reported Speech,1,Medium,He asked why you were going there.,,He asked me why I was going there.,,He asked me why you were going there.,,He asked John why you were going there.,,2
The passive voice of ‘the result surprises me.’ is:,,English,Grammar,Voice,1,Medium,I am surprised by the result.,,I am surprised at the result.,,I am surprised in the result.,,I am surprised to the result.,,1
Show me your hands.,,English,Grammar,Sentence Structure,1,Easy,S + V + O,,S + V + IO + DO,,S + V + N,,V + O,,1
A rocket is fired vertically upward from ground with a resultant vertical acceleration 10 m/s². Fuel is finished in 1 minute and it continue move up. The maximum height reached is,,Physics,Mechanics,Motion under Gravity,2,Medium,36 km,,18 km,,54 km,,42 km,,3
A block of mass 1 kg is placed on a truck which accelerates with acceleration 5 m/s². The coefficient of static friction between block & truck is 0.6 then frictional force is,,Physics,Mechanics,Friction,2,Medium,5 N,,6 N,,5.88 N,,4.6 N,,3
A 2 kg block collide with horizontal spring of force constant 4 Nm⁻¹. The spring is compressed by 8 cm & coefficient of friction is 0.5 then velocity of block with which it collide with spring is,,Physics,Mechanics,"Work, Energy & Power",2,Hard,0.7 m/s,,0.6 m/s,,0.9 m/s,,1.2 m/s,,1
A wooden cube floats in water partially immersed. When 200g ball is put on the cube it is further immersed by 2 cm. The side of cube is,,Physics,Mechanics,Archimedes’ Principle,2,Medium,10 cm,,15 cm,,20 cm,,25 cm,,2
A glass vessel is filled with 544 g of mercury at 0°C and 535.45 g at 100°C. The absolute expansivity of mercury is 18 × 10⁻⁵/°C then cubical expansivity of vessel will be,,Physics,Thermal Expansion,Volume Expansion,2,Hard,1 × 10⁻⁵/°C,,2 × 10⁻⁵/°C,,6 × 10⁻⁵/°C,,9 × 10⁻⁵/°C,,4
An object is placed at 25 cm from a convex lens of focal length 20 cm. If convex mirror is placed at 40 cm behind the lens then image coincide with itself. The focal length of convex mirror is,,Physics,Optics,Lens & Mirror Systems,2,Medium,100 cm,,60 cm,,40 cm,,30 cm,,2
In Young’s double slit experiment two slits are at 0.9 mm and second dark fringe is observed at 1 mm from central fringe on screen at 1 m then wavelength of monochromatic light is,,Physics,Wave Optics,Interference,2,Hard,450 nm,,400 nm,,500 nm,,600 nm,,3
A man is standing between two parallel cliffs and fires a bullet. If he hears first and 2nd echoes after 1.5 sec & 3.5 seconds then distance between cliffs is (vel. of sound = 340 m/s),,Physics,Waves,Echo and Sound,2,Medium,1190 m,,850 m,,395 m,,510 m,,1
Two identical capacitors of 5 μF are charged by 2 kV and 1 kV. The +ve plate of one is connected with −ve of another capacitor then common potential is,,Physics,Electrostatics,Capacitors,2,Medium,100 V,,150 V,,250 V,,500 V,,3
A uniform wire form a circular ring. The resistance across two points at 60° is 5 Ω then resistance of wire is,,Physics,Current Electricity,Resistance,2,Medium,5 Ω,,6 Ω,,30 Ω,,36 Ω,,4
In a closed 10 Ω circuit flux changes with time given by ϕ = 2t² − 5t + 1 then current at t = 0.25 sec is,,Physics,Electromagnetism,Electromagnetic Induction,2,Medium,4.4 A,,0.04 A,,4 A,,40 A,,2
"In LCR circuit R = 100Ω is connected with ac of 100V, 50Hz. The magnitude of phase difference between current & voltage is 30° when L is removed or C is removed then power dissipation in circuit",,Physics,AC Circuit,Power in AC,2,Medium,50 W,,86.5 W,,100 W,,200 W,,3
A radioactive sample has activity x at t₁ and y at t₂. The mean life of sample is T then no of atoms decayed in (t₂ − t₁) is,,Physics,Modern Physics,Radioactivity,2,Medium,x − y,,(x − y)T,,(x − y) / T,,x t₁ − y t₂,,2
Which of the following is correct for repulsion order of electrons?,,Chemistry,Chemical Bonding,VSEPR Theory,2,Medium,LP − LP > LP − BP > BP − BP,,LP − BP > LP − BP > BP − BP,,BP − BP > LP − BP > LP − LP,,LP − LP > BP − BP > LP − BP,,1
The relation between ΔG and K is,,Chemistry,Thermodynamics,Free Energy,2,Medium,ΔG = RT ln(K),,ΔG = −RT ln(K),,ΔG = 2.303 RT ln(K),,ΔG = −RT ln(K⁰),,2
The half-life of first order reaction is directly proportional to,,Chemistry,Chemical Kinetics,Reaction Order,2,Easy,a⁰,,a¹,,a⁻²,,a⁻¹,,1
Which of the following represents water-shift reaction?,,Chemistry,Organic Chemistry,Reactions,2,Medium,CO + H₂O → CO + H₂,,NaOH + CO → HCOONa,,CO + 3H₂ → H₂O + CH₄,,CO + 2H₂ → CH₃OH,,4
Which of the following d-subshell configuration shows colour?,,Chemistry,Atomic Structure,Electronic Configuration,2,Medium,d⁰ and d⁵,,d⁵ and d⁶,,d¹⁰ and d⁰,,d⁵ and d¹⁰,,2
Ethene is formed by electrolysis of,,Chemistry,Hydrocarbons,Alkene Production,2,Medium,Sodium acetate,,Sodium maleate,,Sodium succinate,,Benzyl alcohol,,1
Gas formed by electrolysis of sodium fumarate on passing through hot copper tube gives,,Chemistry,Organic Chemistry,Reaction Mechanisms,2,Medium,Polyethene,,Acetaldehyde,,Capper acetylide,,Benzene,,3
Which of the following represents pyrogallol,,Chemistry,Organic Chemistry,Phenols,2,Medium,[Image a],,[Image b],,[Image c],,[Image d],,3
"The mean deviation of the numbers 3, 4, 5, 6, 7 is",,Mathematics,Statistics,Measures of Deviation,2,Easy,0,,1.2,,3.5,,25,,2
"For a ≠ b, if equation x² + ax + b = 0 and x² + bx + a = 0 have a common root, then the value of (a + b) is",,Mathematics,Algebra,Quadratic Equations,2,Medium,−1,,0,,1,,2,,2
"A five digit number divisible by 3 is to be formed by using the numerals 0, 1, 2, 3, 4 and 5 without repetition. The total number of ways is which this can be done is:",,Mathematics,Permutations,Divisibility & Counting,2,Hard,216,,600,,240,,840,,4
"If (1 + x)ⁿ = C₀ + C₁x + C₂x² + ……Cₙxⁿ, then C₀C₂ + C₁C₃ + C₂C₄ + ……+ Cₙ₋₂Cₙ is equal to",,Mathematics,Binomial Theorem,Expansion Properties,2,Hard,(2n)! / (n!)²,,(2n)! / (n−1)(n+1)!,,(2n)! / (n−2)!(n+2)!,,(2n)! / (n−3)!(n+3)!,,1
The elements aᵢⱼ of a square matrix is given by aᵢⱼ = (i + j)(i − j). The matrix must be,,Mathematics,Matrices,Properties of Matrices,2,Medium,symmetric,,skew-symmetric,,upper triangular,,lower triangular,,2
"In an equilateral triangle, the in-radius (r) and the circum radius (R) are connected by:",,Mathematics,Geometry,Properties of Triangle,2,Medium,r = R/4,,r = R/2,,r = R/3,,r = R/6,,3
The length of common chord of the circle x² + y² = 12 and x² + y² − 4x + 3y − 2 = 0 is,,Mathematics,Coordinate Geometry,Circles,2,Medium,6√2,,5√2,,4√2,,2√2,,1
The length of latus rectum of the parabola 4y² + 2x − 20y + 17 = 0 is,,Mathematics,Conic Sections,Parabola,2,Medium,3,,6,,1/2,,1/3,,2
The probability that a card drawn from a pack of 52 cards will be a diamond or a king is,,Mathematics,Probability,Basic Concepts,2,Easy,4/52,,8/52,,4/13,,2/13,,3
"The equation of the plane which bisects the line joining the points (−1,2,3) and (3,−5,6) at right angles is",,Mathematics,3D Geometry,Plane Equation,2,Hard,4x − 7y − 3z = 8,,4x − 7y − 3z = 28,,4x + 7y − 3z = 28,,4x − 7y + 3z = 28,,2
"If f(x) = logₐlogₓ(x), then f′(x) is:",,Mathematics,Calculus,Logarithmic Differentiation,2,Hard,logₐ / x logₓ,,logₑ / x logₓ,,logₐ / x,,x / logₐ,,1
"If y = x sin⁻¹x + √(1 − x²), then dy/dx is:",,Mathematics,Calculus,Derivatives,2,Hard,√(1 − x²) / cos⁻¹x,,−√(1 − x²),,0,,sin⁻¹x,,2
The function y = xᵃ has a stationary point at,,Mathematics,Calculus,Maxima & Minima,2,Medium,x = 1/e,,x = −1/e,,x = −e,,x = e,,4
The area bounded by the curve y = 4x − x² and the x-axis is,,Mathematics,Calculus,Area Under Curve,2,Medium,17 sq. unit,,31 sq. unit,,32 sq. unit,,34/3 sq. unit,,3
"If i is a unit vector and vectors a and r are such that a × r = i, then a·r is:",,Mathematics,Vectors,Vector Algebra,2,Medium,√(a² − 1) / a,,√(1 − a²),,√(1 + a²),,0,,4
Film industry is a big industry because,,English,Reading Comprehension,Passage-based,2,Easy,we enjoy a film,,actors and actresses are high paid,,large sum of money and hundreds of technicians are involved,,films are time consuming,,3
The story of the film is based on,,English,Reading Comprehension,Passage-based,2,Easy,actors are actresses,,a novel or a play,,the 'shooting script',,the director's life,,2
A film is flashed on the screen,,English,Reading Comprehension,Passage-based,2,Easy,for an hour or two,,for a year or even longer,,for as long as we wish,,for a few minutes,,1
The director's job is to,,English,Reading Comprehension,Passage-based,2,Easy,engage the actors and actresses,,write the script,,interpret the script,,hire the producer,,3
Moment of inertia of two spheres of equal radii are equal. The solid sphere of mass 5kg then mass of hollow sphere will be,,Physics,Mechanics,Moment of Inertia,1,Medium,23\frac{2}{3} kg,,3kg,,25\frac{2}{5} kg,,5kg,,1
"A simple pendulum oscillates in a vertical plane. The tension in the string, when it passes through mean position is thrice the wt of bob. The maximum angular displacement with vertical is",,Physics,SHM,Pendulum,1,Medium,30°,,45°,,60°,,90°,,3
The ratio of densities of two liquids is 2:3 and the ratio of their specific heat is 3:2 then ratio of thermal capacities of equal volume of matter is,,Physics,Heat,Thermal Properties,1,Easy,2:3,,3:2,,9:4,,1:1,,3
The velocity of sound in air depends upon,,Physics,Sound,Properties of Sound,1,Easy,density and elasticity,,pressure,,wavelength of sound,,amplitude & frequency,,1
Two conducting spheres of radii r1r_1 and r2r_2 are at same potential. The ratio of charge on them is,,Physics,Electrostatics,Potential,1,Medium,r1r2\sqrt{\frac{r_1}{r_2}},,r1r2\frac{r_1}{r_2},,(r1r2)2\left(\frac{r_1}{r_2}\right)^2,,r1r2\sqrt{r_1 r_2},,1
A heater coil is cut into two equal parts and only one part is now used in the heater then heat generated will be,,Physics,Heat,Thermal Effects,1,Medium,one fourth,,halved,,double,,four times,,1
Two thin convex lenses of focal length f1f_1 and f2f_2 are placed at a distance 'd' between them. The power of combination will be zero if separation 'd' is,,Physics,Optics,Lenses,1,Hard,f1−f2f_1 - f_2,,f1+f2f_1 + f_2,,f1f2\sqrt{f_1 f_2},,f12+f22\sqrt{f_1^2 + f_2^2},,2
The current in circuit is (circuit diagram),[Circuit in image],Physics,Current Electricity,Circuits,1,Medium,20mA,,40mA,,50mA,,10mA,,2
The % error in measuring mass and speed of a ball are 2% and 3% respectively then % error in measuring KE of ball will be,,Physics,Units & Measurements,Error Analysis,1,Medium,11%,,8%,,5%,,1%,,2
A projectile is projected with kinetic energy E. If it has the maximum possible horizontal range then its KE at highest point will be,,Physics,Mechanics,Projectile Motion,1,Medium,0.25 E,,0.5 E,,0.75 E,,E,,2
